section_code,section_title,preparer_user,prepared_at,reviewer_user,reviewed_at,approver_user,approved_at,status,evidence_note
I,Đặc điểm hoạt động của doanh nghiệp,,,,,,,,
II,"Kỳ kế toán, đơn vị tiền tệ sử dụng trong kế toán",,,,,,,,
III,Chuẩn mực và chế độ kế toán áp dụng,,,,,,,,
IV,Các chính sách kế toán áp dụng,,,,,,,,
V,Thông tin bổ sung cho Báo cáo tình hình tài chính,,,,,,,,
VI,Thông tin bổ sung cho Báo cáo kết quả hoạt động kinh doanh,,,,,,,,
VII,Thông tin bổ sung cho Báo cáo lưu chuyển tiền tệ,,,,,,,,
VIII,Những thông tin khác,,,,,,,,
